word,translation,priority,article
die Kindergärten, Дитячі садки,-0.005,  
abholen, Забрати,-0.007,  
der Stress, Стрес,-0.005,  
müssen, Потрібно,-0.004,  
können, Могти,0.0,  
mitmachen, Брати участь,-0.003,  
der Keks, Печиво,-0.004,  
die Kekse, Печива,-0.004,  
die Blume, Квітка,-0.005,  
die Blumen, Квіти,-0.003,  
der Raum, Кімната,-0.001,  
die Räume, Кімнати,-0.003,  
die Hausaufgabe, Домашнє завдання,-0.001,  
die Hausaufgaben, Домашні завдання,-0.004,  
der Arzt, Лікар,-0.004,  
die Ärzte, Лікарі,-0.002,  
kaufen, Купувати,-0.005,  
aufhängen, Повісити,-0.003,  
reparieren, Ремонтувати,-0.003,  
der Platz, Місце,-0.002,  
die Plätze, Місця,-0.003,  
Kennen Sie sich schon?, Ви вже знайомі?,-0.003,  
Setzen Sie sich bitte., Сідайте будь ласка.,-0.005,  
freuen, Радіти,0.0,  
Freut mich, Приємно познайомитися,-0.002,  
du sagen, Ти кажеш,-0.002,  
Können wir das so sagen?, Чи можемо ми так сказати?,-0.003,  
die Nationalität, Національність,-0.002,  
die Nationalitäten, Національності,-0.004,  
der Italiener, Італієць,-0.001,  
die Italiener, Італійці,-0.001,  
die Italienerin, Італійка,0.0,  
die Italienerinnen, Італійки,-0.004,  
der Deutscher, Німець,-0.003,  
die Deutschen, Німці,-0.001,  
die Deutsche, Німеччина (жінка),-0.003,  
die Deutschen, Німки,-0.002,  
der Pole, Поляк,-0.006,  
die Polen, Поляки,-0.002,  
die Polin, Полька,-0.002,  
die Polinnen, Польки,-0.002,  
der Syrer, Сирієць,-0.002,  
die Syrer, Сирійці,-0.002,  
die Syrerin, Сирійка,-0.003,  
die Syrerinnen, Сирійки,-0.002,  
schrecklich, Жахливо,0.007,  
anstrengend, Виснажливо,-0.004,  
interessant, Цікаво,0.0,  
langweilig, Нудно,0.0,  
nett, Приємно,-0.003,  
endlich, Нарешті,-0.002,  
total, Абсолютно,-0.002,  
dort, Там,-0.002,  
joggen, Бігати,-0.003,  
gehen, Йти,-0.002,  
Spaß haben, Мати задоволення,-0.003,  
Glück haben, Мати удачу,-0.002,  
der Besuch, Візит,-0.002,  
die Besuche, Візити,-0.001,  
der Unterricht, Урок (Sg.),0.0,  
das Treffen, Зустріч,0.0,  
die Treffen, Зустрічі,-0.002,  
die Hochzeit, Весілля,-0.003,  
die Hochzeiten, Весілля (Plural),-0.001,  
etwas,що-небудь,-0.003,
Ergänzen,додати,0.0,
zufrieden,задоволений (їжа),0.0,
vielleicht,можливо,-0.001,
da,там,-0.005,
köstlich,смачний,0.001,
treffen,зустрічатися (з друзями),0.001,
die Wohnung, Квартира,0.0,  
die Wohnungen, Квартири,-0.002,  
das Schlafzimmer, Спальня,-0.002,  
die Schlafzimmer, Спальні,-0.002,  
das Kinderzimmer, Дитяча кімната,-0.002,  
die Kinderzimmer, Дитячі кімнати,-0.001,  
das Arbeitszimmer, Кабінет,-0.003,  
die Arbeitszimmer, Кабінети,-0.002,  
der Flur, Коридор,-0.001,  
die Flure, Коридори,-0.001,  
der Balkon, Балкон,-0.003,  
die Balkone, Балкони,-0.004,  
der Keller, Підвал,0.001,  
die Keller, Підвали,0.0,  
das Bad, Ванна,0.0,  
die Bäder, Ванні,-0.002,  
die Küche, Кухня,-0.002,  
die Küchen, Кухні,-0.004,  
die Dusche, Душ,-0.002,  
die Duschen, Душі,-0.001,  
die Toilette, Туалет,-0.002,  
die Toiletten, Туалети,-0.003,  
die Damentoilette, Жіночий туалет,-0.004,  
die Damentoiletten, Жіночі туалети,-0.001,  
die Herrentoilette, Чоловічий туалет,-0.008,  
die Herrentoiletten, Чоловічі туалети,-0.001,  
Möbel, Меблі,-0.002,  
das Bett, Ліжко,-0.004,  
die Betten, Ліжка,0.0,  
der Schreibtisch, Письмовий стіл,-0.002,  
die Schreibtische, Письмові столи,-0.001,  
das Regal, Полиця,-0.001,  
die Regale, Полички,-0.001,  
das Sofa, Диван,-0.001,  
die Sofas, Дивани,-0.002,  
der Sessel, Крісло,0.0,  
die Sessel, Крісло (Plural),0.0,  
der Schrank, Шафа,-0.001,  
die Schränke, Шафи,-0.001,  
die Kommode, Комод,-0.001,  
die Kommoden, Комоди,0.0,  
die Garderobe, Гардероб,-0.003,  
die Garderoben, Гардероби,-0.004,  
der Spiegel, Дзеркало,-0.004,  
die Spiegel, Дзеркала,-0.002,  
der Sonnenschirm, Парасоля,0.001,  
die Sonnenschirme, Парасольки,-0.002,  
die Waschmaschine, Пральна машина,-0.001,  
die Waschmaschinen, Пральні машини,-0.002,  
der Kühlschrank, Холодильник,-0.001,  
die Kühlschränke, Холодильники,-0.002,  
die Spüle, Раковина,-0.002,  
die Spülen, Раковини,-0.001,  
die Kaffeemaschine, Кавоварка,-0.001,  
die Kaffeemaschinen, Кавоварки,0.0,  
der Herd, Плита,0.001,  
die Herde, Плити,-0.002,  
es gibt, Є,-0.002,  
Es gibt eine Küche., Є кухня.,-0.001,  
der Gegensatz, Контраст,-0.001,  
die Gegensätze, Контрасти,-0.001,  
neu,Новий,-0.001,
alt,Старий,-0.002,  
modern, Сучасний,-0.004,  
unmodern, Несучасний,-0.003,  
ruhig, Тихий,-0.004,  
laut, Гучний,-0.003,  
hell, Світлий,-0.006,  
dunkel, Темний,-0.005,  
teuer, Дорогий,-0.005,  
billig, Дешевий,-0.006,  
groß, Великий,-0.004,  
klein, Маленький,-0.005,  
der Nachbar, Сусід,-0.002,  
die Nachbarn, Сусіди,-0.001,  
das Zentrum, Центр,-0.001,  
die Zentren, Центри,-0.003,  
im Erdgeschoss, На першому поверсі,0.0,  
bezahlen, Платити,-0.003,  
wollen, Хотіти,-0.002,  
der Urlaub, Відпустка,-0.004,  
die Urlaube, Відпустки,-0.002,  
in Urlaub fahren, Їхати у відпустку,-0.002,  
die Anzeige, Оголошення,-0.003,  
die Anzeigen, Оголошення (Plural),-0.003,  
die Miete, Оренда,-0.003,  
die Mieten, Оренди,-0.002,  
die Fläche, Площа,-0.001,  
die Flächen, Площі,0.0,  
qm, квадратний метр,-0.002,  
der Quadratmeter, Квадратний метр,-0.006,  
die Quadratmeter, Квадратні метри,-0.002,  
die Etage, Поверх,-0.002,  
die Etagen, Поверхи,-0.002,  
die Terrasse, Тераса,-0.001,  
die Terrassen, Тераси,0.0,  
die Garage, Гараж,-0.001,  
die Garagen, Гаражі,-0.002,  
der Parkplatz, Парковка,-0.002,  
die Parkplätze, Парковки,-0.005,  
der Garten, Сад,-0.003,  
die Gärten, Сади,-0.001,  
die WG, Спільнота,0.0,  
die WGs, Спільноти,-0.002,  
die Wohngemeinschaft, Житлова спільнота,-0.003,  
die Wohngemeinschaften, Житлові спільноти,-0.002,  
die Schere,ножиці,-0.003,
müde,втомлений,-0.003,
leider,нажаль,-0.001,
stimmt,вірно,-0.002,
die Nebenkosten, Додаткові витрати,0.0,  
die Nebenkosten, Додаткові витрати (Plural),-0.003,  
das Haustier, Домашня тварина,-0.006,  
die Haustiere, Домашні тварини,-0.001,  
die Party, Вечірка,0.0,  
die Partys, Вечірки,-0.001,  
beachten, Уважно ставитися,-0.001,  
mieten, Орендувати,-0.002,  
der Mieter, Орендар,0.0,  
die Mieter, Орендарі,-0.004,  
der Vermieter, Орендодавець,0.0,  
die Vermieter, Орендодавці,-0.002,  
die Miete, Орендна плата,-0.002,  
die Mieten, Орендні плати,-0.003,  
hoch, Високий,-0.001,  
die Heizung, Опалення,0.0,  
die Heizungen, Опалення (Plural),0.0,  
abstellen, Вимикати,-0.002,  
verboten, Заборонено,-0.001,  
erlaubt, Дозволено,-0.001,  
der Kinderwagen, Дитяча коляска,-0.003,  
die Kinderwagen, Дитячі коляски,0.0,  
dürfen, Мати право,0.0,  
der Hof, Двір,-0.002,  
die Höfe, Двори,-0.001,  
rauchen, Палити,0.003,  
parken, Паркувати,-0.003,  
grillen, Гриль,-0.001,  
glücklich, Щасливий,0.0,  
weit, Далеко,-0.001,  
der Kindergarten, Дитячий садок,-0.005,  
die Kindergärten, Дитячі садки,-0.002,  
der Spielplatz, Ігровий майданчик,-0.001,  
die Spielplätze, Ігрові майданчики,-0.001,  
der Bus, Автобус,-0.001,  
die Busse, Автобуси,-0.003,  
die U-Bahn, Метро,-0.001,  
die U-Bahnen, Метро (Plural),-0.001,  
die Leute, Люди,0.0,  
die Leute (Pl.), Люди (Plural),-0.001,  
der Weg, Шлях,-0.001,  
die Wege, Шляхи,0.0,  
langweilig, Нудний,-0.001,  
benutzen, Використовувати,-0.001,  
schön, Гарний,-0.001,  
lustig, Веселий,-0.003,  
circa, Приблизно,-0.002,  
perfekt, Ідеально,-0.001,  
billig, Дешевий,-0.003,  
teuer, Дорогий,-0.002,  
der Anfang, Початок,0.0,  
die Anfänge, Початки,0.001,  
am Anfang, На початку,0.0,  
der Platz, Місце (Sg.),-0.001,  
die Plätze, Місця (Pl.),-0.001,  
die Traumwohnung,Квартира мрії,-0.001,  
die Traumwohnungen,Квартири мрії,-0.001,  
auf dem Land, На селі,0.0,  
in der Stadt, В місті,-0.001,  
im Zentrum, В центрі,-0.004,  
mit Garten, З садом,0.0,  
mit Balkon, З балконом,0.0,  
mit Pool, З басейном,-0.002,  
nette Nachbarn, Приємні сусіди,-0.002,  
